# BTC-USD Exchange Rates for 2021
# Based on https://api.bitcoincharts.com/v1/csv/
Date,Open,High,Low,Close,Volume
2021-08-04,38213.332,39952.297,37589.164,39747.504,25372562724
2021-08-05,39744.516,41341.934,37458.004,40869.555,35185031017
2021-08-06,40865.867,43271.66,39932.18,42816.5,38226483046
2021-08-07,42832.797,44689.859,42618.566,44555.801,40030862141
2021-08-08,44574.438,45282.352,43331.91,43798.117,36302664750
2021-08-09,43791.926,46456.832,42848.688,46365.402,38734079049
2021-08-10,46280.848,46637.988,44705.555,45585.031,33546019517
2021-08-11,45599.703,46735.633,45351.711,45593.637,34319709073
2021-08-12,45576.879,46228.91,43861.445,44428.289,33723620826
2021-08-13,44439.691,47831.977,44282.418,47793.32,31744259539
2021-08-14,47810.688,48098.684,46177.633,47096.945,31211354442
2021-08-15,47096.668,47357.105,45579.59,47047.004,30988958446
2021-08-16,47019.961,47998.098,45700.32,46004.484,32776876610
2021-08-17,45936.457,47139.57,44512.418,44695.359,33451362600
2021-08-18,44686.75,45952.063,44364.027,44801.188,32194123075
2021-08-19,44741.883,46970.762,43998.316,46717.578,37204312299
2021-08-20,46723.121,49342.152,46650.707,49339.176,34706867452
2021-08-21,49327.074,49717.02,48312.199,48905.492,40585205312
2021-08-22,48869.105,49471.609,48199.941,49321.652,25370975378
2021-08-23,49291.676,50482.078,49074.605,49546.148,34305053719
2021-08-24,49562.348,49878.77,47687.117,47706.117,35361168834
2021-08-25,47727.258,49202.879,47163.613,48960.789,32646349931
2021-08-26,49002.641,49347.582,46405.781,46942.219,32666549568
2021-08-27,46894.555,49112.785,46394.281,49058.668,34511076995
2021-08-28,49072.586,49283.504,48499.238,48902.402,28568103401
2021-08-29,48911.25,49644.113,47925.855,48829.832,25889650240
2021-08-30,48834.852,48925.605,46950.273,47054.984,31847007016
2021-08-31,47024.34,48189.551,46750.094,47166.688,34730363427
2021-09-01,47099.773,49111.09,46562.438,48847.027,39139399125
2021-09-02,48807.848,50343.422,48652.32,49327.723,39508070319
2021-09-03,49288.25,50982.273,48386.086,50025.375,43206179619
2021-09-04,50009.324,50545.582,49548.781,49944.625,37471327794
2021-09-05,49937.859,51868.68,49538.598,51753.41,30322676319
2021-09-06,51769.004,52700.941,51053.68,52633.535,38884105426
2021-09-07,52660.48,52853.766,43285.207,46811.129,65210059683
2021-09-08,46827.762,47334.055,44561.395,46091.391,49007762488
2021-09-09,45774.742,47261.949,45669.738,46391.422,38672657013
2021-09-10,46396.664,47031.742,44344.484,44883.91,39154666597
2021-09-11,44869.84,45969.293,44818.266,45201.457,34499835245
2021-09-12,45206.629,46364.879,44790.461,46063.27,27881980161
2021-09-13,46057.215,46598.68,43591.32,44963.074,40969943253
2021-09-14,44960.051,47218.125,44752.332,47092.492,38652152880
2021-09-15,47098.0,48450.469,46773.328,48176.348,30484496466
2021-09-16,48158.906,48486.828,47079.559,47783.359,31764293754
2021-09-17,47771.004,48160.922,46832.523,47267.52,28727713711
2021-09-18,47273.527,48791.781,47087.285,48278.363,28575630451
2021-09-19,48268.855,48328.367,46919.805,47260.219,26967722648
2021-09-20,47261.406,47328.199,42598.914,42843.801,43909845642
2021-09-21,43012.234,43607.609,39787.609,40693.676,48701090088
2021-09-22,40677.953,43978.621,40625.633,43574.508,38139709246
2021-09-23,43560.297,44942.176,43109.34,44895.098,34244064430
2021-09-24,44894.301,45080.492,40936.559,42839.75,42839345714
2021-09-25,42840.891,42996.258,41759.922,42716.594,31604717236
2021-09-26,42721.629,43919.301,40848.461,43208.539,30661222077
2021-09-27,43234.184,44313.246,42190.633,42235.73,30980029059
2021-09-28,42200.898,42775.145,40931.664,41034.543,30214940550
2021-09-29,41064.984,42545.258,40829.668,41564.363,30602359905
2021-09-30,41551.27,44092.602,41444.582,43790.895,31141681925
2021-10-01,43816.742,48436.012,43320.023,48116.941,42850641582
2021-10-02,48137.469,48282.063,47465.496,47711.488,30614346492
2021-10-03,47680.027,49130.691,47157.289,48199.953,26638115879
2021-10-04,48208.906,49456.777,47045.004,49112.902,33383173002
2021-10-05,49174.961,51839.984,49072.84,51514.813,35873904236
2021-10-06,51486.664,55568.465,50488.191,55361.449,49034730168
2021-10-07,55338.625,55338.625,53525.469,53805.984,36807860413
2021-10-08,53802.145,55922.98,53688.055,53967.848,34800873924
2021-10-09,53929.781,55397.945,53735.145,54968.223,32491211414
2021-10-10,54952.82,56401.305,54264.258,54771.578,39527792364
2021-10-11,54734.125,57793.039,54519.766,57484.789,42637331698
2021-10-12,57526.832,57627.879,54477.973,56041.059,41083758949
2021-10-13,56038.258,57688.66,54370.973,57401.098,41684252783
2021-10-14,57372.832,58478.734,56957.074,57321.523,36615791366
2021-10-15,57345.902,62757.129,56868.145,61593.949,51780081801
2021-10-16,61609.527,62274.477,60206.121,60892.18,34250964237
2021-10-17,60887.652,61645.523,59164.469,61553.617,29032367511
